Project Id;Project Description
1;"Es un laboratorio de ciencia ciudadana en el que tratamos difererentes materiales digitales relacionados con datos arqueológicos. Trabajamos con programas CAD para editar, vectorizar y analizar distintos formatos digitales de información arqueologíca
"
2;"El proyecto programa PAAM, tiene dos fases:
La primera trata de generar los procedimientos de evaluación “con autoridad” de las capacidades cognitivas (Atención, Percepción, Comprensión, Orientación, Razonamiento, Aprendizaje, …)  a considerar asociándolos a las actividades (ejercicios ad hoc, en forma de pasatiempos como crucigramas, sopas de letras, sudokus, solitario, mándalas, …) y ejercicios de entrenamiento en estimulación cognitiva con sus matices (tipo de actividad, frecuencia diaria, nivel de dificultad) y teniendo en cuenta la interacción entre ellas. Para ello es preciso contar con profesionales adecuados (psicólogos, psicólogos clínicos, neurólogos, psiquiatras, geriatras, …) para realizar esta tarea.
La segunda fase o de ejecución, consiste en aplicar estos procedimientos obtenidos de la primera fase en las personas objetivo (mayores de 50, solo en España cerca de 10 millones) para hacerles las recomendaciones (actividades) y seguimiento introduciendo en la base de datos los resultados obtenidos. Para ello es preciso acordar y coordinar con entidades que tengan un amplio desarrollo en el territorio (con instalaciones e infraestructuras) el llevar a cabo esta fase.
"
3;"Cities at Night nace en 2014 liderada por el dr. Alejandro Sánchez de Miguel. En sus estudios observa que los datos globales utilizados para medir ALAN proporcionados por el Programa de Satélites Meteorológicos de Defensa (DMSP) y el Conjunto de Radiómetros de Imágenes Infrarrojas Visibles (VIIRS), y que no fueron diseñados específicamente para la adquisición científica y sistemática de la luz nocturna, sino con fines meteorológicos, no son los mejores para extraer información cuando se quiere trabajar sobre la contaminación lumínica. Trabajar con estas fuentes tiene serias limitaciones: tienen baja resolución espacial (750m/pixel para VIIRS) y problemas de radiometría.
Alejandro se encontró con un desafío: proporcionar una fuente mucho más fidedigna donde investigadores e instituciones pudieran obtener datos para sus estudios donde relacionan la contaminación nocturna con sus campos. Utilizar las imágenes que los astronautas han ido tomando desde el transbordador espacial y posteriormente desde la Estación Espacial Internacional es la mejor solución. El problema es que a día de hoy no existen aplicaciones que permitan georreferenciar estas imágenes con fines de investigación, y por otro lado, no están calibradas.
Es aquí donde nace Cities at Night como Programa de Ciencia Ciudadana, pues necesitamos de la ayuda de los ciudadanos para localizar, etiquetar y calibrar la gran cantidad de imágenes disponibles, imágenes que con mayor frecuencia los investigadores están utilizando en sus estudios.
El Programa Cities at Night une en su desarrollo a Ciudadanos, Investigadores e Instituciones, donde el resultado final es la obtención de colecciones coherentes y calibradas de imágenes ópticas de la ISS: construyendo juntos el primer atlas nocturno realista en color verdadero que proporciona una visión global del mundo por la noche en color verdadero.
"
4;"El desarrollo del proyecto contaré con varias etapas:
1º.- Dar a conocer en qué consiste el proyecto a través de una página web e impactos en medios de comunicación y redes sociales.
2º.- Llamamiento a la participación y colaboración ciudadana a través de tres formas: como personas particulares, como asociaciones o pueblos y como centros educativos.
3º.- Identificar fuentes y manantiales a través de la app CitMapp.
4º.- Reparto de tiras medidoras de la calidad del agua para conocer el estado de las fuentes y manantiales.
5º.- Recogida de datos y difusión de resultados.
"
5;"La ciudadanía tiene un rol fundamental a la hora de pensar, crear y sostener las ciudades del futuro y garantizar el bienestar común. El laboratorio tiene como propósito crear comunidades de aprendizaje y de práctica, trabajando de forma colectiva para identificar necesidades, problemas e intereses, e impulsar ideas creativas que mejoren las condiciones de los barrios a través de la experimentación, el conocimiento compartido y la cultura científica.
En primer lugar, se busca identificar y comprender las principales problemáticas y necesidades del territorio a través de procesos de Ciencia Ciudadana con sensores medioambientales abiertos y cartografías colaborativas para la realización de un Diagnóstico Participativo. Posteriormente, se realiza una convocatoria abierta para acoger propuestas y soluciones ciudadanas, que después serán trabajadas de forma colaborativa desde las lógicas de la experimentación y el prototipado, utilizando laboratorios de fabricación digital o la Red de Ateneos de Fabricación, y priorizando el proceso frente al resultado, dando autonomía a los grupos para promover la continuidad de los proyectos. Por último, se trabaja en la puesta en común, la presentación y la explotación de los resultados para la sensibilización y la divulgación de los desafíos presentados. De forma transversal se considera en todo el proceso, la documentación de hechos y aprendizajes para la generación colectiva de conocimiento que posteriormente circule y pueda ser útil en otros contextos, bajo el principio de la cultura libre para poder ser copiada, distribuida , modificada y mejorada. Se abordarán diferentes disciplinas, como la ciencia, la tecnología y la innovación, el urbanismo, la arquitectura y el arte, estableciendo interrelaciones para generar soluciones.
"
6;"Partiendo de los valores objetivos apreciables (relieve, recursos hídricos, biodiversidad, clima...) ver como éstos han penetrado en la estructura cognitiva y cosmovisión de los ciudadanos/as valencianos.
"
7;"1.	Creación de laboratorio ciudadano y creación del partenariado inicial implicado en el mismo (stakeholders).
2.	Lanzamiento de convocatorias de recogida de propuestas.
3.	Evaluación y selección de las propuestas.
4.	Planificación de las propuestas seleccionadas en un entorno cooperativo
5.	Evaluación junto a los stakeholders de la planificación discutida durante el laboratorio para evaluar la disponibilidad de medios y recursos para poner en marcha las acciones propuestas.
6.	Información a los ciudadanos de los resultados de esta evaluación.
7.	Realización de las acciones.
"
8;"1-Hemos formado a tres grupos de voluntarios de la Universidad para Mayores de la Universidad Complutense (https://www.ucm.es/mayores): primero, mostrando los cambios que se han producido en la investigación  en literatura gracias a la digitalización y  a la utilización de herramientas digitales; después en el uso de determinadas herrarmientas
2- Los mayores han leído novelas en busca de marcas de nuestra era postdigital y han anotado  de forma digital a través de una herramienta de anotación.
3- Hemos realizado Jornadas para poner en común nuestras experiencias
"
9;"La Digitalizadora de la Memoria Colectiva surge en 2019 como una iniciativa ciudadana que tiene como objetivo localizar, digitalizar, describir, enriquecer, difundir y conservar grabaciones audiovisuales, en formatos  ya obsoletos (super 8, Betacam, VHS, Hi 8, DVCAM…).
Su archivo contiene colecciones que documentan la actividad de movimientos sociales, experiencias comunitarias y momentos de la vida cotidiana de un pasado reciente (desde la década de 1970). Imágenes y sonidos  “atrapados” en soportes que se están deteriorando progresivamente y corren el riesgo de desaparecer si no se actúa pronto.
Como complemento a dicha labor, La Digitalizadora también reactiva las imágenes y produce contenidos derivados con el objetivo de recuperar, reconocer y preservar la memoria común e historia colectiva a través de la participación ciudadana y la implicación de sus protagonistas.
"
10;"A través de la ciencia ciudadana queremos que toda persona pueda ser investigador/a en este proyecto y aporten sus conocimientos a través de la recopilación de datos (localización de instrumentos creados a mano por antepasados usados en el pastoreo y otras actividades relacionadas con el campo y los animales; localización de instrumentos o fragmentos en espacios como centros de interpretación, museos, centros etnográficos clasificados como tal o no clasificados).
Tras la recopilación de información, analizaremos los datos obtenidos y trazaremos conexiones y patrones (qué instrumentos se encuentran con mayor frecuencia o se conservan en mejor estado tras el paso del tiempo, su clasificación, su tipo de uso, sus materiales...).
Recrearemos manualmente esos instrumentos junto a la comunidad (talleres, charlas, concierto...) a través del binomio enseñanza-aprendizaje, de modo que sirvan para su incorporación a la didáctica musical.
Recrearemos el paisaje sonoro de este territorio en diversos formatos (sonoro, visual, arte textil, instalación artística...) para que la cultura recupere el sonido de su historia.
"
