Project Id;Project Name;Project Link;Project Scope;Citizen Science Web Name;Citizen Science Web Link
1;LADA-UC3M;https://ciencia-ciudadana.es/proyecto-cc/lada-uc3m/;Cultura y Arqueología;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
2;PAAM;https://ciencia-ciudadana.es/proyecto-cc/paam/;Ciencias Sociales, Educación, Informática y Ciencias de la Computación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
3;Cities at Night;https://ciencia-ciudadana.es/proyecto-cc/cities-at-night-2/;Biodiversidad, Ecología y Medioambiente, Espacio y Astronomía;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
4;FuenAragón;https://ciencia-ciudadana.es/proyecto-cc/fuenaragon/;Biodiversidad, Ciencias de la Agricultura y Veterinaria, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
5;Laboratorio Ciudadano de Salud Urbana;https://ciencia-ciudadana.es/proyecto-cc/laboratorio-ciudadano-de-salud-urbana/;Biodiversidad, Ecología y Medioambiente, Medicina y Salud, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
6;Biologia/Geologia aplicada a la identidad territorial;https://ciencia-ciudadana.es/proyecto-cc/biologia-geologia-aplicada-a-la-identidad-territorial/;Animales, Biodiversidad, Biogeografía, Ciencia de los Alimentos, Ciencias Químicas, Ciencias Sociales, Clima y Meteorología, Ecología y Medioambiente, Educación, Geografía, Geología y Ciencias de la Tierra, Informática y Ciencias de la Computación, Insectos y Polinizadores, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
7;URBANOME – URBANLAB-MAD;https://ciencia-ciudadana.es/proyecto-cc/urbanome-urbanlab-mad/;Ciencias Sociales, Ecología y Medioambiente, Medicina y Salud, Naturaleza y Aire Libre, Transporte;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
8;REC-LIT;https://ciencia-ciudadana.es/proyecto-cc/rec-lit/;Educación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
9;La Digitalizadora de la Memoria Colectiva;https://ciencia-ciudadana.es/proyecto-cc/la-digitalizadora-de-la-memoria-colectiva/;Ciencias Políticas, Ciencias Sociales, Cultura y Arqueología, Educación, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
10;Bosque Anouk – Ecos de la Tierra;https://ciencia-ciudadana.es/proyecto-cc/bosque-anouk-ecos-de-la-tierra/;Animales, Cultura y Arqueología, Culturas Indígenas, Ecología y Medioambiente, Educación, Geografía, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Pájaros, Sonido;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
